,Paper ID,Publishable,Conference,Reasoning
30,P031,1,KDD,"This paper introduces a novel graph neural network (GNN) approach for detecting and explaining hate speech targeting Islam, a critical task with societal implications. The methodology leverages word embeddings and graph structures to achieve state-of-the-art performance in hate speech classification and provides explainability through GNNExplainer. This aligns with KDD's focus on knowledge discovery and data mining techniques applied to real-world problems. Unlike the reference paper which focuses on indoor localization and medication detection using time-series data, this paper tackles a different problem using graph-based methods."
31,P032,0,na,na
32,P033,1,EMNLP,"This paper presents a transition-based AMR parser using Stack-LSTMs, achieving competitive results on the LDC2014T12 dataset. It focuses on a novel parsing algorithm and model, incorporating character-based representations and pretrained word embeddings, which aligns with EMNLP's focus on computational linguistics and natural language processing. Unlike the reference papers that explore transfer and multi-task learning for noun-noun compound interpretation, this paper tackles AMR parsing directly, making it a better fit for EMNLP's scope."
33,P034,1,TMLR,"This paper introduces Dual PatchNorm, a novel normalization technique for Vision Transformers, demonstrating improved performance across various vision tasks. The work focuses on empirical evaluation and analysis of the proposed method, aligning with TMLR's emphasis on rigorous experimentation and practical impact. Unlike the reference papers that delve into theoretical convergence of min-max optimization algorithms, this paper focuses on a specific architectural modification and its empirical validation, making it a better fit for TMLR's focus on machine learning results."
34,P035,0,na,na
35,P036,0,na,na
36,P037,1,EMNLP,"This paper introduces a novel Chinese span-extraction dataset for machine reading comprehension, a core NLP task. The dataset includes a challenge set requiring complex reasoning, aligning with EMNLP's focus on advancing NLP research. The paper details dataset creation, baseline models, and evaluation, fitting the conference's emphasis on empirical NLP. Unlike the reference paper which focuses on noun-noun compound interpretation using transfer and multi-task learning, this paper focuses on a new dataset for machine reading comprehension."
37,P038,0,na,na
38,P039,0,na,na
39,P040,1,NIPS,"This paper presents a novel approach using 3D convolutional neural networks for real-time prediction of fluid dynamics in architectural design, including a reverse design workflow. The core contribution lies in the application of CNNs to approximate complex CFD simulations, enabling rapid design iterations and sustainable building practices. This aligns with NIPS' focus on innovative machine learning techniques and their applications. Unlike the reference paper which focuses on safety constraints in neural networks, this paper focuses on using CNNs for simulation and design."
40,P041,0,na,na
41,P042,1,CVPR,"The paper introduces a novel semantic similarity metric, DeepSim, for image registration, focusing on learning dataset-specific features to improve registration accuracy and convergence. This aligns with CVPR's focus on computer vision and pattern recognition, particularly in areas like image analysis and medical imaging. The paper's methodology and experimental validation on biomedical datasets demonstrate a significant contribution to the field. Unlike the reference paper which focuses on action recognition in videos, this paper tackles image registration, a core computer vision problem."
42,P043,0,na,na
43,P044,1,NIPS,"The paper introduces CropNet, a large-scale multimodal dataset for climate-aware crop yield prediction, which is a significant contribution to the machine learning community. It includes novel data collection and processing methods, and demonstrates the dataset's utility in various deep learning models and self-supervised learning scenarios. This aligns with NIPS's focus on innovative machine learning research. Unlike the reference paper which focuses on safe predictors with input-output constraints, this paper focuses on a novel dataset and its applications in deep learning."
44,P045,1,NIPS,"This paper introduces AM-RADIO, a method for distilling multiple vision foundation models into a single, efficient model, achieving strong performance across various tasks. It explores efficient architectures and demonstrates the model's ability to replace teacher models in downstream applications. The focus on model efficiency and performance aligns well with NIPS's emphasis on machine learning advancements. Unlike the reference paper which focuses on safety guarantees, this paper focuses on improving model performance and efficiency through distillation."
45,P046,1,NIPS,"This paper introduces a novel ""symbiotic"" attack model for Graph Neural Networks (GNNs), combining poisoning and evasion attacks to enhance adversarial robustness. It demonstrates the effectiveness of this combined approach, especially on larger graphs, using a memory-efficient adaptive attack. The paper's focus on adversarial robustness and novel attack strategies aligns well with NIPS's interest in cutting-edge machine learning research. Unlike the reference papers which focus on safe predictors, this paper focuses on attacking GNNs, making it a better fit for NIPS."
46,P047,0,na,na
47,P048,0,na,na
48,P049,1,CVPR,"This paper introduces a self-adaptive method for semantic segmentation that improves generalization to out-of-distribution data by refining model parameters and modifying batch normalization layers during inference. The method is evaluated on traffic scene datasets, demonstrating improved accuracy and calibration. This aligns with CVPR's focus on novel computer vision techniques and their applications. Unlike the reference paper which focuses on action recognition in baseball videos, this paper tackles a different computer vision problem with a novel approach."
49,P050,1,EMNLP,"This paper presents a novel approach to interpreting neural models for Natural Language Inference (NLI) by visualizing attention and LSTM gating saliency. It provides insights into model behavior, which is a core topic in EMNLP. The paper focuses on explaining model decisions, similar to the reference paper's goal of interpreting noun-noun compounds, but differs by focusing on the internal mechanisms of deep learning models rather than transfer learning techniques."
50,P051,1,NIPS,"The paper introduces a real-time unsupervised domain adaptation method for part-of-speech tagging, focusing on incrementally updating word representations. This aligns with NIPS's interest in novel machine learning algorithms and their applications. The paper's emphasis on online learning and representation learning fits the conference's scope. Unlike the reference paper, which focuses on safe predictors with input-output specifications, this paper tackles domain adaptation in NLP, showcasing a different area of machine learning research."
51,P052,1,KDD,"This paper introduces a novel neural network, ADNN, for automated financial feature engineering, a key aspect of data mining. It focuses on extracting informative features from financial time series data, using techniques like pre-training and pruning, and demonstrates improved performance over genetic programming. The paper's emphasis on feature engineering and performance evaluation aligns well with KDD's focus on knowledge discovery and data mining. Unlike the reference paper which focuses on indoor localization using wearable sensor data, this paper focuses on financial data."
52,P053,0,na,na
53,P054,1,CVPR,"This paper presents a 3D food modeling challenge, focusing on physically-aware reconstruction from images, a computer vision problem. The challenge involves creating accurate 3D models of food items from 2D images, using a checkerboard for scale, and evaluates both volume and shape accuracy. This aligns with CVPR's focus on advancements in computer vision, particularly 3D reconstruction. Unlike the reference paper which focuses on action recognition in videos, this paper tackles 3D reconstruction, a core area of interest for CVPR."
54,P055,1,KDD,"This paper explores the ethical implications of AI research by examining researchers' experiences with broader impact statements, a topic directly relevant to KDD's focus on knowledge discovery and data mining's societal impact. The study uses survey data to understand researcher perspectives and inform future iterations of ethical requirements. Unlike the reference paper, which focuses on using sensor data for health monitoring, this paper delves into the human and ethical dimensions of AI research, aligning with KDD's broader scope."
55,P056,0,na,na
56,P057,1,CVPR,"The paper introduces a novel human-machine collaborative painting system using machine learning for creative input, which aligns with CVPR's focus on computer vision and its applications. The system uses a neural sketcher trained on human strokes, demonstrating a unique application of computer vision in art. Unlike the reference paper which focuses on action recognition in sports videos, this paper explores creative human-computer interaction, a distinct area within computer vision."
57,P058,1,NIPS,"This paper introduces a novel use of positional encoding to enhance RNN performance, particularly in handling large vocabularies by stabilizing gradients, which aligns with NIPS's focus on innovative machine learning techniques. The paper's findings on gradient stability and the counterintuitive application of positional encoding to RNNs contribute to the theoretical understanding of neural networks. Unlike the reference paper which focuses on enforcing safety constraints, this paper explores a different aspect of neural network performance, specifically improving RNNs with positional encoding."
58,P059,1,NIPS,"This paper introduces a novel use of positional encoding to improve RNN performance with large vocabularies, addressing gradient instability issues caused by infrequent tokens. It presents empirical results on synthetic benchmarks and analyzes gradient stability. The work aligns with NIPS' focus on advancing neural network techniques and understanding their behavior. Unlike the reference paper which focuses on safety constraints, this paper explores a novel application of positional encoding to improve RNN performance."
59,P060,1,CVPR,"The paper introduces a novel background modeling method using adaptive pixel-wise kernel variances in a hybrid feature space, achieving state-of-the-art results on a benchmark dataset. This aligns with CVPR's focus on innovative computer vision techniques, particularly in areas like video analysis and motion understanding. The paper's emphasis on kernel density estimation and feature representation is distinct from the reference paper's focus on temporal modeling for action recognition in videos."
60,P061,1,NIPS,"This paper introduces LeOCLR, a novel contrastive learning method that enhances visual representation by incorporating original images, addressing semantic inconsistencies in augmented views. It demonstrates improved performance on various tasks, including image classification and object detection. The focus on representation learning and novel loss functions aligns well with NIPS's emphasis on machine learning advancements. Unlike the reference paper which focuses on safe predictors with input-output constraints, this paper focuses on improving representation learning through contrastive methods."
61,P062,1,NIPS,"This paper introduces a novel method for adapting large pretrained models while preserving equivariance, a crucial property for symmetry-related tasks. The method uses a regularization term to maintain equivariance during adaptation, which aligns with NIPS's focus on innovative machine learning techniques. The paper's emphasis on theoretical properties and empirical validation also fits the conference's rigorous standards. Unlike the reference paper which focuses on enforcing input-output specifications, this paper tackles the problem of preserving equivariance during model adaptation."
62,P063,1,TMLR,"This paper explores representation transferability in neural networks across datasets and tasks, analyzing layer-wise transfer and its relation to task relatedness. It also investigates citation patterns in AI research, highlighting regional divides. The paper's focus on empirical observations and analysis of knowledge transfer aligns with TMLR's emphasis on methodological contributions and empirical studies in machine learning. Unlike the reference papers which focus on optimization algorithms, this paper provides a broad analysis of knowledge transfer and research trends."
63,P064,1,CVPR,"This paper introduces a novel self-instruction framework for open-source LLMs to use multi-modal tools, focusing on visual tasks like image captioning and generation. It fits CVPR due to its focus on computer vision tasks and the use of visual data, which aligns with the conference's emphasis on advancements in visual understanding. Unlike the reference paper, which focuses on action recognition in baseball videos, this paper tackles the broader challenge of enabling LLMs to interact with visual tools."
64,P065,1,CVPR,"The paper investigates the stability of Stable Diffusion through recursive inpainting, a novel approach to evaluating generative AI models. This aligns with CVPR's focus on computer vision, particularly in image generation and analysis. The research explores how repeated application of inpainting affects image quality, which is a relevant topic for the conference. Unlike the reference paper that focuses on action recognition in videos, this paper delves into the properties of image generation models."
65,P066,1,EMNLP,"This paper introduces a vocabulary transfer method for language model compression, focusing on reducing model size and inference time while maintaining performance. It aligns with EMNLP's focus on empirical methods in natural language processing, particularly in areas like model efficiency and adaptation. The paper's exploration of vocabulary transfer for compression contrasts with the reference paper's focus on transfer and multi-task learning for noun-noun compound interpretation, highlighting a different area of NLP research."
66,P067,1,TMLR,"This paper introduces a Python API for accessing the FrameNet lexical database, focusing on ease of use and efficient data loading. It aligns with TMLR's focus on tools and resources for machine learning research by providing a practical tool for NLP tasks. The reference papers focus on optimization algorithms for min-max problems, while this paper provides a resource, making it a better fit for TMLR's broader scope."
67,P068,1,CVPR,"The paper introduces Feature Flow Net (FFNet), a novel framework for efficient 3D object detection in vehicle-infrastructure cooperative systems, focusing on transmitting compressed feature flow to reduce bandwidth and handle temporal asynchrony. This aligns with CVPR's focus on cutting-edge computer vision techniques, particularly in areas like object detection and video analysis. Unlike the reference paper which focuses on action recognition in baseball videos, this paper tackles a different problem with a novel approach."
68,P069,0,na,na
69,P070,0,na,na
70,P071,1,EMNLP,"This paper investigates the role of fillers in speech transcripts using deep contextualized embeddings, showing improvements in spoken language modeling and downstream tasks like confidence and sentiment prediction. The focus on spoken language and the use of BERT align well with EMNLP's interest in natural language processing, especially with a focus on modeling and understanding language. Unlike the reference papers which focus on noun-noun compound interpretation using transfer and multi-task learning, this paper focuses on spoken language phenomena."
71,P072,1,NIPS,"This paper fits NIPS because it tackles a critical issue in neural network security: the vulnerability of defenses against adversarial attacks. It demonstrates the ineffectiveness of two white-box defenses, using established methodologies to reduce accuracy to zero. This aligns with NIPS's focus on cutting-edge research in machine learning and neural networks. Unlike the reference paper which focuses on creating safe predictors with input-output constraints, this paper focuses on breaking existing defenses."
72,P073,0,na,na
73,P074,1,CVPR,"This paper presents a solution to the Agriculture-Vision Challenge using Transformer-based models for agricultural pattern recognition from aerial images. The work focuses on data preprocessing, model selection (SegFormer), and test-time augmentation to achieve a high mIoU score. This aligns with CVPR's focus on computer vision techniques and applications. Unlike the reference paper which focuses on action recognition in baseball videos, this paper tackles a different computer vision problem, specifically semantic segmentation in the agricultural domain."
74,P075,1,CVPR,"This paper presents a method for equivariant adaptation of large pretrained models for multi-step inference in instructional videos, focusing on video-text alignment and question-aware grounding. The method uses VideoCLIP for feature extraction, attention mechanisms for context reweighting, and GRU for multi-step inference. This aligns with CVPR's focus on novel computer vision techniques, especially those involving video understanding and multimodal learning. Unlike the reference paper which focuses on action recognition in sports videos, this paper tackles a different problem with a novel approach."
75,P076,0,na,na
76,P077,0,na,na
77,P078,0,na,na
78,P079,1,NIPS,"The paper introduces OmniPrint, a configurable generator for printed characters, which is a novel tool for creating synthetic datasets for machine learning research. This aligns with NIPS's focus on advancing machine learning methodologies and tools. The paper's emphasis on data generation and its application to classification and regression problems are relevant to the NIPS community. Unlike the reference papers which focus on safety and robustness of machine learning models, this paper focuses on data generation, a different but equally important aspect of machine learning research."
79,P080,1,EMNLP,"This paper fits EMNLP because it focuses on using large language models (LLMs) to assist authors in improving their scientific papers, a task directly related to natural language processing and its applications in research workflows. The paper evaluates the LLM's ability to check for compliance with author checklists, which involves understanding and processing natural language. Unlike the reference paper, which focuses on semantic interpretation of noun-noun compounds, this paper explores the practical application of LLMs in the scientific writing process."
80,P081,0,na,na
81,P082,1,TMLR,"This paper introduces a PyTorch library for variational learning with disentanglement, focusing on implementation and evaluation of algorithms. It details supported algorithms, neural architectures, and evaluation metrics, and presents experimental results. The library's modular design and focus on disentanglement align with the scope of TMLR, which emphasizes practical machine learning research. Unlike the reference paper which focuses on theoretical convergence of optimization algorithms, this paper provides a practical tool for the machine learning community."
82,P083,1,NIPS,"This paper analyzes citation patterns within the NeurIPS community, revealing a significant divide between Chinese and American institutions. It uses citation data to quantify this separation, exploring its causes and consequences, which aligns with NeurIPS' focus on machine learning research and its impact. The reference papers focus on safe predictors and input-output specifications, while this paper focuses on a social analysis of the community, making it a unique contribution to the conference."
83,P084,1,CVPR,"This paper is a strong fit for CVPR because it focuses on analyzing computer vision research trends using large language models, a methodology that aligns with the conference's emphasis on novel techniques in computer vision. The paper's analysis of the ""hard-won lesson"" in computer vision, using LLMs to evaluate research abstracts, is a unique approach. Unlike the reference paper which focuses on action recognition in baseball videos, this paper analyzes the field of computer vision itself."
84,P085,1,NIPS,"This paper focuses on evaluating privacy risks in tabular synthetic data, a topic of significant interest in the machine learning community. It explores various privacy metrics, including differential privacy, k-anonymity, and statistical indicators, and also discusses computer-scientific experimental privacy assessments. The paper's emphasis on the theoretical and practical aspects of privacy aligns well with NIPS's focus on cutting-edge machine learning research. Unlike the reference papers which focus on safe predictors, this paper focuses on privacy evaluation, a different but related area of machine learning."
85,P086,0,na,na
86,P087,1,CVPR,"The paper introduces a novel feature tracking method using subspace constraints, which aligns with CVPR's focus on computer vision techniques. It addresses challenges in low-quality video, a common problem in real-world applications, and demonstrates real-time performance. The method's use of low-rank regularization and a unified optimization framework are relevant to the conference's interest in innovative algorithms. Unlike the reference paper which focuses on action recognition in baseball videos, this paper focuses on feature tracking, a fundamental computer vision problem."
87,P088,1,NIPS,"This paper investigates modularity in neural networks by analyzing hidden unit similarity using upstream and downstream metrics, finding that dropout increases modularity and that upstream and downstream measures yield different clusters. This aligns with NIPS's focus on neural information processing and representation learning. The reference papers focus on enforcing input-output specifications for safety, while this paper focuses on understanding the internal structure of neural networks, making it a better fit for NIPS."
88,P089,1,NIPS,"This paper presents theoretical advancements in understanding the Neural Tangent Kernel (NTK) approximation, a core concept in deep learning theory, by establishing precise conditions for its validity. It refines existing bounds and demonstrates their tightness, which is highly relevant to the NIPS conference that focuses on theoretical machine learning. Unlike the reference papers that focus on safe predictors and constraint satisfaction, this paper delves into the fundamental theoretical properties of neural network training dynamics."
89,P090,1,NIPS,"This paper introduces a novel method for adapting large pretrained models while preserving their equivariance properties, a crucial aspect for tasks involving structured data and symmetries. The method uses a regularization scheme based on group representation theory, improving generalization performance. This aligns with NIPS's focus on innovative machine learning techniques and theoretical advancements. Unlike the reference paper which focuses on enforcing input-output specifications, this paper tackles the problem of preserving equivariance during model adaptation."
90,P091,1,EMNLP,"This paper fits EMNLP because it focuses on a novel application of Named Entity Recognition (NER) using a BiLSTM-CRF model on call center transcripts, addressing challenges like ASR errors and privacy compliance. The work includes custom embeddings and Flair, demonstrating advancements in NLP for noisy, real-world data. Unlike the reference papers that explore transfer and multi-task learning for noun-noun compound interpretation, this paper tackles a different NLP task, NER, with a focus on practical application and data-specific challenges."
91,P092,1,CVPR,"This paper presents a novel image compression method using deep residual networks and sub-pixel convolution, achieving high MS-SSIM at a low bit rate. It explores kernel sizes, network depth, and upsampling techniques, which are core computer vision topics. The paper's focus on optimizing network architecture for image compression aligns well with CVPR's emphasis on advancements in visual processing. Unlike the reference paper which focuses on action recognition in videos, this paper tackles image compression, a distinct but relevant area within computer vision."
92,P093,1,CVPR,"This paper introduces a novel early stopping method for Deep Image Prior (DIP) models, addressing a key practical limitation in computational imaging tasks like denoising and super-resolution. The method, based on running variance, is shown to be effective across various DIP variants and imaging problems. This aligns with CVPR's focus on novel computer vision techniques and their applications. Unlike the reference paper which focuses on action recognition in videos, this paper tackles image reconstruction, a core area in computer vision."
93,P094,0,na,na
94,P095,1,NIPS,"The paper presents JueWu-MC, a hierarchical reinforcement learning approach for Minecraft, incorporating representation and imitation learning for sample efficiency. This aligns with NIPS's focus on machine learning advancements, particularly in complex environments. The method's novel techniques, like action-aware representation learning and discriminator-based self-imitation, contribute to the field. Unlike the reference paper which focuses on safe predictors with input-output constraints, this paper tackles complex RL in a game environment, a common theme in NIPS."
95,P096,0,na,na
96,P097,0,na,na
97,P098,0,na,na
98,P099,1,CVPR,"This paper enhances video narration using linguistic insights, integrating language models and distributional semantics into an LSTM framework. It focuses on improving grammatical correctness and descriptive quality in video descriptions, evaluated on YouTube and movie datasets. The work aligns with CVPR's focus on computer vision and pattern recognition, specifically in video understanding and generation. Unlike the reference paper which focuses on action recognition in baseball videos, this paper focuses on generating natural language descriptions for videos."
99,P100,0,na,na
100,P101,1,CVPR,"This paper presents a novel method using convolutional LSTM networks for disease detection in 3D medical images, specifically emphysema in CT scans, using weak annotations. The method processes volumes as sequences of 2D images, outperforming MIL and 3D CNN approaches. This aligns with CVPR's focus on innovative computer vision techniques, particularly in image analysis and sequence processing. Unlike the reference paper which focuses on action recognition in videos, this paper tackles a different domain with a novel approach."
101,P102,1,CVPR,"This paper introduces a large-scale car dataset, CompCars, for fine-grained categorization, verification, and attribute prediction, which aligns with CVPR's focus on computer vision problems and novel datasets. The paper explores various applications using CNNs, demonstrating the dataset's utility for tasks like car model classification and verification. Unlike the reference paper which focuses on action recognition in baseball videos, this paper centers on object recognition and analysis, a core area of interest for CVPR."
102,P103,1,EMNLP,"This paper on equivariant adaptation of large pretrained models for the NLC2CMD competition fits EMNLP due to its focus on natural language processing tasks, specifically translating natural language to command-line instructions. It details a competition, datasets, metrics, and competing solutions, aligning with EMNLP's interest in empirical NLP research. Unlike the reference paper which focuses on noun-noun compound interpretation, this paper tackles a different NLP problem, but both papers use machine learning techniques to address semantic understanding."
103,P104,1,EMNLP,"This paper presents ConCoRD, a framework leveraging NLI models to improve the consistency and accuracy of pre-trained language models without fine-tuning. It focuses on enhancing model predictions by considering logical relationships between outputs, which aligns with EMNLP's focus on natural language processing and computational linguistics. The paper's methodology and experiments on QA and VQA tasks are relevant to the conference's scope. Unlike the reference paper which focuses on transfer and multi-task learning for noun-noun compound interpretation, this paper introduces a novel approach for improving model consistency."
104,P105,0,na,na
105,P106,0,na,na
106,P107,0,na,na
107,P108,1,EMNLP,"This paper fits EMNLP because it focuses on computational linguistics, specifically exploring phonological typology for speech processing tasks, including multilingual phoneme inventories and phoneme induction. It uses machine learning techniques to analyze cross-linguistic consistency and develop methods for low-resource languages. While the reference paper uses transfer and multi-task learning for noun-noun compound interpretation, this paper applies similar machine learning concepts to phonological analysis, aligning with EMNLP's focus on natural language processing and computational linguistics."
